Series Name,Reduced Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
CO2 intensity,F/E,2.49615935087305,2.71499296195574,2.75799280984575,2.84629304868305,2.84138018115252,2.95369710889232,2.85514794685287,2.9176304519282,2.99357161218154,2.86145642313074,2.94607047045602,2.98545980045174,3.02020306109456,3.06269139201468,3.11623538453979,3.20262720660309,3.23793573483073,3.25278427523012,3.24681518209229,3.25867916885476,3.23941926747376,3.30833235908697,3.27492519940009,3.30681161384249,3.24264414716579
Energy intensity of the GDP,E/GDP,0.5386595242856,0.480125933653922,0.434629126253198,0.404265129579428,0.374571517288557,0.362468186967024,0.338919863555613,0.309934537208359,0.289359171817041,0.273962737266064,0.260449263386049,0.250195806693024,0.244712641937632,0.254141377157414,0.263250391569644,0.261252791097485,0.253382773948216,0.239901292536428,0.22567549885637,0.220393525668495,0.220012739960348,0.215398964590408,0.207275985361881,0.19854579573458,0.187687033335641
GDP per capita,GDP/Pop,1423.89634790712,1534.70527155072,1731.65721549507,1949.534268233,2178.9240567606,2391.47711558935,2601.36342607386,2812.71113459465,3004.42734154703,3206.73002570818,3451.67923092857,3712.33813234069,4024.3556966355,4400.82518341212,4817.21184452759,5334.64663938181,5979.78171182527,6795.17401237991,7412.87436349204,8069.35463837755,8884.58803122602,9680.09769961659,10370.7265716791,11101.9389299934,11851.4042175796
Population,Pop,1135185000,1150780000,1164970000,1178440000,1191835000,1204855000,1217550000,1230075000,1241935000,1252735000,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1345035000,1354190000,1363240000,1371860000
