Series Name,Reduced Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CO2 intensity,F/E,2.52995349980778,2.49044300415612,2.47806275296889,2.49537807981883,2.48530952158964,2.47997745321308,2.49998972673728,2.59917764382224,2.59708683412904,2.53756802566046,2.54093074880878,2.57732468749227,2.47974287101585,2.50296576719481,2.48726476937175,2.48238409194941,2.46278244130798,2.45625409265855,2.44318983415276,2.38336178470935,2.43445851853652,2.36123910914698,2.29497700863695,2.33186993493578,2.30241440068252,2.28326717476128
Energy intensity of the GDP,E/GDP,0.189721910984018,0.191471248228768,0.188668069591858,0.186830499511376,0.182950766941684,0.18044031780766,0.177744161796343,0.171996236391102,0.166019820573205,0.162772549565763,0.160735787365169,0.156161948969797,0.155225269990687,0.151257071872782,0.148724318831545,0.144361668881049,0.139026197887594,0.138852970178019,0.135477788505089,0.132151076503591,0.131847670866821,0.128380284626839,0.123638943460877,0.122843881822997,0.121662059506495,0.116227574190539
GDP per capita,GDP/Pop,40436.9375471315,39856.9909397813,40692.6376980562,41264.6575879474,42403.9262156716,43026.7204131291,44133.4791901605,45516.0023303909,47004.6141333405,48676.6590175624,50124.8911771196,50126.7202222596,50528.7885768372,51529.7264039288,52994.5519602026,54353.0685764315,55368.3597189656,55873.2447409949,55271.6574674783,53399.365631618,54315.9124805391,54758.8332734292,55581.4138435207,56214.4286771294,57213.2678405623,58540.2960929977
Population,Pop,249623000,252981000,256514000,259919000,263126000,266278000,269394000,272657000,275854000,279040000,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309327143,311583481,313877662,316059947,318386329,320738994
