Series Name,Reduced Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
CO2 intensity,F/E,2.45161217225225,2.45038055359772,2.44175109388861,2.42815832669178,2.42821224219952,2.43224587716068,2.42320160262839,2.41591351301812,2.4190063146379,2.3790731320283,2.39654608333573,2.40838250501445,2.395701266869,2.41501385505377,2.42110423631155,2.44590501373863,2.45653045506672,2.48126916869109,2.47068560929734,2.46011060163366,2.47201693227502,2.50855777312155,2.4960313835442,2.50842925334855,2.48937539885279
Energy intensity of the GDP,E/GDP,0.16448114181526,0.163880674461081,0.161458469973243,0.160745977695546,0.157175832221626,0.15649429117588,0.154546640659337,0.151648242397875,0.14859974814587,0.146708910011557,0.143340995087062,0.141807152665471,0.140840762877461,0.140805368558824,0.139914967958301,0.137531436399985,0.134533739268495,0.131545577881009,0.129837240910344,0.129891286929788,0.130528243572396,0.12771937758854,0.126184490685495,0.123860926122278,0.120794169252239
GDP per capita,GDP/Pop,9677.69651878384,9647.4197072268,9647.75240660358,9655.91497358551,9778.23979970595,9934.82463960112,10163.5524954774,10407.6706001226,10516.0749755046,10736.3179017351,11097.3149468595,11206.1603668006,11363.8323691187,11639.6676789146,12079.0553665747,12473.0682736657,12952.1144094098,13453.8659507352,13642.6748806364,13383.3825012721,13892.3333584984,14260.6428959691,14528.7086365162,14824.5078182805,15149.4503422287
Population,Pop,5280062644,5368139818,5452576967,5537885402,5622085293,5706753581,5789655178,5872284397,5954004340,6034484369,6114324044,6193663732,6272724236,6351855732,6431527221,6511724848,6592711655,6674181848,6757000414,6839553692,6921854591,7003760440,7089254548,7175500378,7261846543
