Series Name,Reduced Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
CO2 intensity,F/E,2.97790516696514,2.97758112941532,2.85710426020226,2.78588504192005,2.79007118418388,2.83319254969844,2.87673724223563,2.80874054968892,2.79601951252293,2.76447652937123,2.7952670388985,2.72400210267246,2.72877429218125,2.76314541108453,2.73653297835113,2.7675951334861,2.75640887651948,2.7592077942468,2.71488803874081,2.72860629632713,2.71162389665662,2.73185782505141,2.6669768600792,2.70981888284321,2.67802749918143
Energy intensity of the GDP,E/GDP,0.107222160411839,0.110689865094797,0.115567162067761,0.122196557984351,0.127982134495101,0.127225133590729,0.123632971772848,0.126508750520423,0.122245457822409,0.125949743837431,0.121228205293824,0.128884125749493,0.132229914336004,0.128424686060384,0.127449054479723,0.129869049710971,0.130911376326888,0.130679009167833,0.134455797390291,0.138251142683715,0.138013768124486,0.134584219289417,0.140759700174698,0.137546760712517,0.140457724486693
GDP per capita,GDP/Pop,10456.2148566713,10642.2401346495,10911.5985014219,10889.2341728832,10861.3347043478,10834.2840059022,11119.0592895542,11249.9145423697,11544.5149851005,11531.7262555815,12053.013067051,11990.5997125525,11947.5859298305,12342.205078164,13040.3793526423,13405.2980950185,13859.6432978416,14274.7209011087,14629.2807703841,14442.4523337322,14834.151962069,15078.5946308094,15314.9533496052,15409.9055222991,15567.0963568634
Population,Pop,254215127,261046286,265656639,272107854,278384977,286096967,292041169,297891711,303641719,309436718,315326781,321297196,327362274,333608806,340143477,347029862,354302465,361929175,369823227,377883960,385917928,393942668,401968363,409968633,417924350
